Thresholds,,1 deg,2 deg,3 deg,4 deg,5 deg
minimum,Northwest,-1.74E-05,-5.42E-05,-4.73E-05,-2.91E-05,0.00E+00
,Southwest,-5.51E-06,-9.12E-05,-7.83E-05,-4.54E-05,0.00E+00
,Southern Plains,-1.56E-04,-2.14E-04,-2.06E-04,-1.03E-04,-1.67E-04
,Northern Plains,-2.00E-04,-3.25E-04,-3.10E-04,-3.00E-04,-5.56E-04
,Midwest,-3.10E-04,-4.10E-04,-4.79E-04,-5.68E-04,-7.20E-04
,Southeast,-8.52E-06,-6.13E-05,-1.31E-05,-1.54E-05,0.00E+00
,Northeast,-1.96E-04,-3.23E-04,-4.67E-04,-5.58E-04,-6.62E-04
,NATIONAL,-3.10E-04,-4.10E-04,-4.79E-04,-5.68E-04,-7.20E-04
max - lowest tercile; min - medium tercile,Northwest,3.39E-06,2.27E-05,4.47E-05,5.54E-05,1.27E-04
,Southwest,2.42E-05,5.35E-05,8.53E-05,9.79E-05,1.75E-04
,Southern Plains,-2.13E-05,-1.91E-05,8.09E-06,2.79E-05,9.42E-05
,Northern Plains,-5.23E-05,-8.67E-05,-8.64E-05,-7.21E-05,-1.41E-04
,Midwest,-6.70E-05,-9.75E-05,-1.12E-04,-1.17E-04,-9.27E-05
,Southeast,5.65E-05,6.58E-05,8.66E-05,1.39E-04,2.29E-04
,Northeast,2.90E-05,2.27E-05,6.02E-05,7.72E-05,1.20E-04
,NATIONAL,5.69E-06,2.23E-06,1.71E-05,3.24E-05,8.16E-05
max - medium tercile; min - highest tercile,Northwest,1.24E-05,5.09E-05,8.80E-05,1.13E-04,2.34E-04
,Southwest,4.85E-05,9.06E-05,1.37E-04,1.67E-04,2.73E-04
,Southern Plains,1.06E-05,1.41E-05,2.59E-05,6.18E-05,1.66E-04
,Northern Plains,-8.62E-06,-3.13E-05,-3.13E-05,-1.92E-05,-1.11E-05
,Midwest,-3.28E-05,-5.62E-05,-6.18E-05,-5.77E-05,-1.77E-05
,Southeast,9.97E-05,1.33E-04,1.83E-04,2.79E-04,4.29E-04
,Northeast,5.01E-05,4.59E-05,9.85E-05,1.27E-04,1.96E-04
,NATIONAL,4.96E-05,6.06E-05,1.01E-04,1.34E-04,2.25E-04
maximum,Northwest,2.16E-04,5.38E-04,9.46E-04,1.27E-03,2.73E-03
,Southwest,2.80E-04,4.56E-04,6.54E-04,9.50E-04,1.41E-03
,Southern Plains,2.00E-04,2.48E-04,3.76E-04,6.57E-04,1.30E-03
,Northern Plains,4.56E-05,8.15E-05,1.04E-04,1.57E-04,2.80E-04
,Midwest,2.58E-04,2.78E-04,4.24E-04,5.83E-04,8.56E-04
,Southeast,4.66E-04,6.54E-04,9.78E-04,1.60E-03,3.07E-03
,Northeast,5.23E-04,6.17E-04,9.21E-04,1.28E-03,1.89E-03
,NATIONAL,5.23E-04,6.54E-04,9.78E-04,1.60E-03,3.07E-03
