Means and Medians,,1 deg,2 deg,3 deg,4 deg,5 deg
Mean - Lowest Tercile,Northwest,0.00000,0.00001,0.00003,0.00003,0.00008
,Southwest,0.00001,0.00003,0.00004,0.00005,0.00012
,Southern Plains,-0.00005,-0.00006,-0.00003,0.00000,0.00005
,Northern Plains,-0.00008,-0.00012,-0.00012,-0.00010,-0.00019
,Midwest,-0.00011,-0.00017,-0.00019,-0.00021,-0.00018
,Southeast,0.00005,0.00005,0.00006,0.00009,0.00014
,Northeast,0.00001,-0.00001,0.00002,0.00003,0.00009
,NATIONAL,-0.00005,-0.00008,-0.00008,-0.00007,-0.00004
Mean - Medium Tercile,Northwest,0.00001,0.00003,0.00006,0.00007,0.00015
,Southwest,0.00004,0.00008,0.00012,0.00014,0.00023
,Southern Plains,-0.00001,-0.00001,0.00002,0.00005,0.00016
,Northern Plains,-0.00004,-0.00006,-0.00007,-0.00005,-0.00010
,Midwest,-0.00006,-0.00009,-0.00011,-0.00011,-0.00008
,Southeast,0.00011,0.00014,0.00019,0.00029,0.00046
,Northeast,0.00005,0.00004,0.00009,0.00012,0.00017
,NATIONAL,0.00003,0.00004,0.00007,0.00009,0.00017
Mean - Highest Tercile,Northwest,0.00002,0.00008,0.00014,0.00018,0.00039
,Southwest,0.00007,0.00012,0.00017,0.00022,0.00035
,Southern Plains,0.00008,0.00006,0.00009,0.00015,0.00035
,Northern Plains,0.00001,0.00000,0.00001,0.00002,0.00005
,Midwest,0.00001,-0.00003,-0.00001,0.00000,0.00008
,Southeast,0.00022,0.00032,0.00044,0.00067,0.00102
,Northeast,0.00009,0.00009,0.00017,0.00022,0.00033
,NATIONAL,0.00012,0.00016,0.00024,0.00034,0.00054
Median - Loest Tercile,Northwest,0.00000,0.00001,0.00003,0.00004,0.00009
,Southwest,0.00001,0.00003,0.00005,0.00005,0.00013
,Southern Plains,-0.00004,-0.00005,-0.00001,0.00001,0.00007
,Northern Plains,-0.00007,-0.00011,-0.00011,-0.00009,-0.00018
,Midwest,-0.00010,-0.00014,-0.00016,-0.00017,-0.00017
,Southeast,0.00005,0.00005,0.00006,0.00008,0.00011
,Northeast,0.00002,0.00001,0.00004,0.00005,0.00011
,NATIONAL,-0.00004,-0.00007,-0.00007,-0.00006,0.00000
Median - Medium Tercile,Northwest,0.00001,0.00003,0.00006,0.00007,0.00015
,Southwest,0.00004,0.00008,0.00012,0.00015,0.00023
,Southern Plains,-0.00001,-0.00001,0.00002,0.00005,0.00015
,Northern Plains,-0.00004,-0.00006,-0.00007,-0.00006,-0.00011
,Midwest,-0.00006,-0.00009,-0.00011,-0.00011,-0.00008
,Southeast,0.00011,0.00014,0.00019,0.00028,0.00046
,Northeast,0.00005,0.00004,0.00009,0.00011,0.00017
,NATIONAL,0.00004,0.00004,0.00007,0.00010,0.00017
Median - Highest Tercile,Northwest,0.00002,0.00009,0.00015,0.00019,0.00043
,Southwest,0.00007,0.00011,0.00016,0.00022,0.00033
,Southern Plains,0.00007,0.00004,0.00007,0.00011,0.00028
,Northern Plains,0.00001,0.00000,0.00001,0.00002,0.00004
,Midwest,0.00000,-0.00003,-0.00002,-0.00002,0.00005
,Southeast,0.00020,0.00028,0.00039,0.00060,0.00089
,Northeast,0.00008,0.00008,0.00016,0.00020,0.00031
,NATIONAL,0.00010,0.00012,0.00018,0.00025,0.00042
